surah	ayah	class	urdu_span	roman_span	suggestion	confidence	note
2	96	wrong-word	آپ انہیں کو پائیں گے	Aap inhi ko paayenge	Aap unhein paayenge	low	Urdu انہیں (unhein, accusative "them") is rendered as the emphatic demonstrative "inhi" ("precisely these ones") rather than the plain pronoun. Referent and overall sense are unchanged (still points back to the group just described), so this may be a deliberate emphatic reading rather than a slip. Flagging for owner read since it is a different word.
2	255	izafat-invented	معبود برحق	mabood-e-bar-haq	mabood bar-haq	high	Same Urdu phrase معبود برحق occurs at 2:163 and is there rendered "mabood bar-haq" (no izafat). برحق is a compound adjective ("rightful/true"), not a genitive that needs -e-; the -e- at 255 is an invented izafat and an internal inconsistency within this same surah (compare 163's own rendering of the identical phrase).
2	282	source-typo	گوہوں	gawaahon	gawaahon	high	Source has گوہوں (missing و/ا), a typo for گواہوں "witnesses". Roman already silently reads it correctly as "gawaahon" -- no Roman change needed, but this is the same class of silent correction as the recorded 83:18 errata (plan §1.2 C) and should be added to data/roman-urdu/source-errata.tsv so a future reviewer comparing against the Urdu doesn't stumble on it.
3	49	source-typo	مرددوں	murdon	murdon	medium	Source spells "مرددوں" with an extra doubled د (normal spelling مردوں, murdon = "the dead"). Roman already reads it correctly as "murdon" -- no Roman change needed, but worth adding to data/roman-urdu/source-errata.tsv (same class as the recorded 83:18/2:282 errata) so a future reviewer comparing against the Urdu doesn't stumble on it.
5	54	omission	مسلمانوں	musalmano	musalmanon	high	orchestrator plural check; not vocative
5	56	omission	مسلمانوں	musalmano	musalmanon	high	orchestrator plural check; not vocative
9	5	omission	مہینوں	mahino	mahinon	high	Found by orchestrator plural check; plural lost its nasal -n
9	31	omission	عالموں	aalim	aalimon	high	Urdu عالموں (aalimon) is the oblique plural "their scholars/ulama"; darweshon right after it is correctly kept plural, but aalim is left singular. Drops the plural marker on one of two parallel nouns in the same clause ("apne aalim aur darweshon ko Rabb banaya" reads as "their [one] scholar and dervishes" instead of "their scholars and dervishes").
10	17	omission	مجرموں	mujrim	mujrimon	high	Urdu مجرموں (mujrimon) is the oblique plural noun "such criminals/wrongdoers"; Roman drops the plural marker, rendering "aise mujrim ko" (singular "the criminal") instead of "aise mujrimon ko" (plural).
11	30	omission	مومنوں	momino	mominon	high	orchestrator plural check; not vocative
11	94	omission	مومنوں	momino	mominon	high	orchestrator plural check; not vocative
