ref	index	span	key	phonemic	status	reviewer	notes
109:2	5	2	اس کی	u s k ii	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: اس is 'that/his' (उस) here, not 'this' (इस)
109:3	6	2	اس کی	u s k ii	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: اس is 'that/his' (उस) here, not 'this' (इस)
109:5	3	2	اس کی	u s k ii	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: اس is 'that/his' (उस) here, not 'this' (इस)
110:2	7	1	میں	m e ~	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: میں here is 'in' (में), not 'I' (मैं)
110:3	11	2	اس سے	u s s e	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: اس is 'that/his' (उस) here, not 'this' (इस)
111:2	2	2	اس کا	u s k aa	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: اس is 'that/his' (उस) here, not 'this' (इस)
111:2	5	2	اس کے	u s k e	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: اس is 'that/his' (उस) here, not 'this' (इस)
111:2	11	2	اس کی	u s k ii	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: اس is 'that/his' (उस) here, not 'this' (इस)
111:3	5	1	میں	m e ~	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: میں here is 'in' (में), not 'I' (मैं)
111:4	1	2	اس کی	u s k ii	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: اس is 'that/his' (उस) here, not 'this' (इस)
111:5	0	2	اس کی	u s k ii	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: اس is 'that/his' (उस) here, not 'this' (इस)
111:5	3	1	میں	m e ~	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: میں here is 'in' (में), not 'I' (मैं)
112:3	1	2	اس سے	u s s e	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: اس is 'that/his' (उस) here, not 'this' (इस)
112:4	3	2	اس کا	u s k aa	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: اس is 'that/his' (उस) here, not 'this' (इस)
113:1	10	1	میں	m e ~	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: میں here is 'in' (में), not 'I' (मैं)
113:2	1	1	اس	u s	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: اس is 'that/his' (उस) here, not 'this' (इस)
113:2	7	2	اس نے	u s n e	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: اس is 'that/his' (उस) here, not 'this' (इस)
113:3	9	2	اس کا	u s k aa	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: اس is 'that/his' (उस) here, not 'this' (इस)
113:4	5	1	میں	m e ~	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: میں here is 'in' (में), not 'I' (मैं)
114:1	10	1	میں	m e ~	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: میں here is 'in' (में), not 'I' (मैं)
114:3	5	1	میں	m e ~	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: میں here is 'in' (में), not 'I' (मैं)
114:5	4	1	میں	m e ~	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: میں here is 'in' (में), not 'I' (मैं)
114:6	3	1	میں	m e ~	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: میں here is 'in' (में), not 'I' (मैं)
114:6	8	1	میں	m e ~	pending		MACHINE SUGGESTION - unreviewed. HOMOGRAPH: میں here is 'in' (में), not 'I' (मैं)
