surah	reviewer_label
1	codex gpt-5.5
2	codex gpt-5.5
3	codex gpt-5.5
4	codex gpt-5.5
5	codex gpt-5.5
6	codex gpt-5.5
7	codex gpt-5.5
8	codex gpt-5.5
9	codex gpt-5.5
10	codex gpt-5.5
11	codex gpt-5.5
12	codex gpt-5.5
13	claude sonnet
14	claude sonnet
15	claude sonnet
16	claude sonnet
17	claude sonnet
18	claude sonnet
19	claude sonnet
20	claude sonnet
21	claude sonnet
22	claude sonnet
23	claude sonnet
24	claude sonnet
25	claude sonnet
26	codex gpt-5.5
27	codex gpt-5.5
28	codex gpt-5.5
29	codex gpt-5.5
30	codex gpt-5.5
31	codex gpt-5.5
32	codex gpt-5.5
33	codex gpt-5.5
34	claude sonnet
35	claude sonnet
36	claude sonnet
37	claude sonnet
38	claude sonnet
39	claude sonnet
40	claude sonnet
41	claude sonnet
42	claude sonnet
43	codex gpt-5.5
44	codex gpt-5.5
45	codex gpt-5.5
46	codex gpt-5.5
47	codex gpt-5.5
48	codex gpt-5.5
49	codex gpt-5.5
50	codex gpt-5.5
51	codex gpt-5.5
52	codex gpt-5.5
53	codex gpt-5.5
54	codex gpt-5.5
55	codex gpt-5.5
56	codex gpt-5.5
57	codex gpt-5.5
58	codex gpt-5.5
59	codex gpt-5.5
60	codex gpt-5.5
61	codex gpt-5.5
62	codex gpt-5.5
63	codex gpt-5.5
64	codex gpt-5.5
65	codex gpt-5.5
66	codex gpt-5.5
67	codex gpt-5.5
68	codex gpt-5.5
69	codex gpt-5.5
70	codex gpt-5.5
71	codex gpt-5.5
72	codex gpt-5.5
73	codex gpt-5.5
74	codex gpt-5.5
75	codex gpt-5.5
76	codex gpt-5.5
77	codex gpt-5.5
78	codex gpt-5.5
79	codex gpt-5.5
80	codex gpt-5.5
81	codex gpt-5.5
82	codex gpt-5.5
83	codex gpt-5.5
84	codex gpt-5.5
85	codex gpt-5.5
86	codex gpt-5.5
87	codex gpt-5.5
88	codex gpt-5.5
89	codex gpt-5.5
90	codex gpt-5.5
91	codex gpt-5.5
92	codex gpt-5.5
93	codex gpt-5.5
94	codex gpt-5.5
95	codex gpt-5.5
96	codex gpt-5.5
97	codex gpt-5.5
98	codex gpt-5.5
99	codex gpt-5.5
100	codex gpt-5.5
101	codex gpt-5.5
102	codex gpt-5.5
103	codex gpt-5.5
104	codex gpt-5.5
105	codex gpt-5.5
106	codex gpt-5.5
107	codex gpt-5.5
108	codex gpt-5.5
109	codex gpt-5.5
110	codex gpt-5.5
111	codex gpt-5.5
112	codex gpt-5.5
113	codex gpt-5.5
114	codex gpt-5.5
