surah	ayah	source_span	read_as	note
83	18	لرگزنہیں	ہرگز نہیں	Source has لرگزنہیں (glued, missing ه); read as ہرگز نہیں. Roman "Hargiz nahin" is correct as written. Recorded so a reviewer comparing against the Urdu doesn't stumble on the same spot (plan §1.2 C).
57	12	(قیامت کے دن تو دیکھے گا	(قیامت کے دن) تو دیکھے گا	Source opens ( and never closes it; owner ruling Q3 2026-09-25 closes it after دن
41	30	(یہ کہتے ہوئے آتے ہیں کہ	(یہ کہتے ہوئے) آتے ہیں کہ	Source opens ( and never closes it; Roman closes after "yeh kehte hue"; owner ruling Q4 2026-09-25
41	31	(جنت میں موجود﴾	(جنت میں موجود)	Source mixes ( and ﴾; owner ruling Q4 2026-09-25
2	282	گوہوں	گواہوں	Source typo (missing ا); Roman "gawaahon" is correct as written. Found by Phase 4 sweep 2026-09-25
18	16	کردے گ.ا	کردے گا	Source has a stray period inside گا; Roman reads it correctly. Phase 4 sweep 2026-09-25
55	52	ہوگی	ہوں گی	Source verb singular for plural subject دو قسمیں; Roman "hongi" is correct. Phase 4 sweep 2026-09-25
3	49	مرددوں	-	Phase 4 sweep 2026-09-25 (medium); Roman needs no change. Source spells "مرددوں" with an extra doubled د (normal spelling مردوں, murdon = "the dead"). Roman already reads it correctly as "murdon" -- no Roman change nee
16	55	جائے گ	-	Phase 4 sweep 2026-09-25 (high); Roman needs no change. Source has "جائے گ" (missing alef, truncated "گا" -> "گ"), a typo for "جائے گا". Roman already reads it correctly as "jaayega" -- no Roman change needed. Same c
17	23	. s	-	Phase 4 sweep 2026-09-25 (high); Roman needs no change. Source text has a stray trailing artifact ". s" after "بات چیت کرنا" (hex confirms literal ". s" in the DB row, not a rendering glitch). Roman already silently 
19	5	عطا فرم	-	Phase 4 sweep 2026-09-25 (high); Roman needs no change. Source has "عطا فرم" (missing alef, truncated "فرما" -> "فرم"), a typo for "عطا فرما". Roman already reads it correctly as "ata farma" -- no Roman change needed
26	68	ہے؟	-	Phase 4 sweep 2026-09-25 (medium); Roman needs no change. Urdu ends this declarative refrain with a question mark ("...مہربان ہے؟"), but the same refrain at 26:9 ("...غالب اور مہربان ہے.") ends with a period and the se
27	18	چینوٹیوں	-	Phase 4 sweep 2026-09-25 (high); Roman needs no change. Source spells the first occurrence "چینوٹیوں" (letters transposed: ye-nun-wow) instead of the correct "چیونٹیوں" (ye-wow-nun) used later in the very same verse 
33	50	جنہوں تو ان کا مہر	-	Phase 4 sweep 2026-09-25 (medium); Roman needs no change. Source reads جنہوں (jinhon) before "تو" (tu), which is grammatically defective in context ("jinhon tu" doesn't parse) -- almost certainly a typo for جنہیں (jinh
48	25	خبر نہ تھ یعنی	-	Phase 4 sweep 2026-09-25 (high); Roman needs no change. Source has تھ (missing ی), a typo for تھی "was". Roman already silently reads it correctly as "thi" -- no Roman change needed, but this is the same class of sil
51	42	بوسیده ہدی	-	Phase 4 sweep 2026-09-25 (high); Roman needs no change. Source has ہدی (missing ڈ), a typo for ہڈی "bone". Roman already silently reads it correctly as "haddee" -- no Roman change needed, but this is the same class o
72	2	راه راست کے طرف	-	Phase 4 sweep 2026-09-25 (high); Roman needs no change. Source has "راه راست کے طرف" -- "راه" (raah) is feminine and grammatically needs "کی", not "کے". Roman already silently reads it correctly as "ki taraf" -- no R
86	10	مدددگار	-	Phase 4 sweep 2026-09-25 (high); Roman needs no change. Source has مدددگار with an extra د (three د's), a typo for مددگار "helper." Roman already silently reads it correctly as "madadgaar" -- no Roman change needed, 
