ayah	verdict	sha256	concern	suggestion
1	ok	ea5c85ef3c8201093fb6f001b3ce72901ceae0aaf0f9626eed5cd4fae0972fbb		
2	ok	cf25235893b19bbfb518848b22d1366674fe735443b7db369b3e4e54f5d080ba		
3	ok	bb1ae981f9a8498ad398f8fe93dcb88382373f413065abc01737cd115e85a4b1		
4	ok	8042bed55573cb2f2b40ff7a4290e47a57ee9ce7d10ef198d6dab7fc39a548aa		
5	ok	1627c656c5f329bc8e16be11d24998a8e6ca8af43e32d54f1a2f8b1342f5e6fb		
6	ok	3acf045822fd7d06be8de5710087b4f947c35885a6793b3da5f847f6bcebdeed		
7	ok	a1d9722139fe696a103200d7d8f6796ae50157b3b2facf05584adfca9c6ac86c		
8	concern	ee8d4c7ee5b5cfdc904510f820c9d5dda9d24f7fa61dfd9391b5004e3691f3d5	برحق should follow house hyphenation used in RULES as bar-haq.	bar-haq
9	ok	c3a464a3066006d8b18f54bc435e48e09ad760a81d1d53ac89358771006a43bb		
10	ok	e2a9f751dd3a1053703b1ee8b8d45d62593fc9e601eff082da1944ed3fa1f045		
11	ok	aa4fe59b8d004bacb4544e04aaa4a283b32114c1443ef60ad6418b4c1e84a88f		
12	concern	28eb109fb9c18b4b9b0118a98895e69bcfc6c16eda1a42d0567a53df7d196cbf	مانع is rendered as maane, which reads like مانے; it should be maani.	kaun amr maani hai
13	ok	8f4704c2c76bfadf22b72742fc2e5f783dd2980ff8d40eb16b2bb5b8f484743e		
14	ok	4835c3662098f671e076fed6126b1ba1764c38cf661bad84e7b8b6e5a12acb69		
15	ok	023d0d0fac3dd69d44166ed1b72b6f56c2fce20547f40f58e6598ca188aebb63		
16	ok	69a266ba19692ebc555aee786ed3b8d858dad29aa09535ab19658ccf7d4420bb		
17	ok	5a198450bde6c2b9fc1bafc7508c91a5e164b4390d22ca2fc9dc683eaed8f3bc		
18	ok	eb42e5db3f13c26dbb248127eb02d723f78502d361d45cebba0fb93a2db83b7b		
19	ok	43bcda197bc0bae69127d649ccd765c3350c124d3f4001388bc6b732d6f7caef		
